	Tissue	Age	Sex
Brain_6w_male_1	Brain	6w	male
Brain_6w_male_2	Brain	6w	male
Brain_6w_male_3	Brain	6w	male
Brain_6w_male_4	Brain	6w	male
Brain_6w_male_5	Brain	6w	male
Brain_6w_female_1	Brain	6w	female
Brain_6w_female_2	Brain	6w	female
Brain_6w_female_3	Brain	6w	female
Brain_6w_female_4	Brain	6w	female
Brain_6w_female_5	Brain	6w	female
Brain_16w_male_1	Brain	16w	male
Brain_16w_male_2	Brain	16w	male
Brain_16w_male_3	Brain	16w	male
Brain_16w_male_4	Brain	16w	male
Brain_16w_male_5	Brain	16w	male
Brain_16w_female_1	Brain	16w	female
Brain_16w_female_2	Brain	16w	female
Brain_16w_female_3	Brain	16w	female
Brain_16w_female_4	Brain	16w	female
Brain_16w_female_5	Brain	16w	female
