	Tissue	Age	Sex
Heart_6w_male_1	Heart	6w	male
Heart_6w_male_2	Heart	6w	male
Heart_6w_male_3	Heart	6w	male
Heart_6w_male_4	Heart	6w	male
Heart_6w_male_5	Heart	6w	male
Heart_6w_female_1	Heart	6w	female
Heart_6w_female_2	Heart	6w	female
Heart_6w_female_3	Heart	6w	female
Heart_6w_female_4	Heart	6w	female
Heart_6w_female_5	Heart	6w	female
Heart_16w_male_1	Heart	16w	male
Heart_16w_male_2	Heart	16w	male
Heart_16w_male_3	Heart	16w	male
Heart_16w_male_4	Heart	16w	male
Heart_16w_male_5	Heart	16w	male
Heart_16w_female_1	Heart	16w	female
Heart_16w_female_2	Heart	16w	female
Heart_16w_female_3	Heart	16w	female
Heart_16w_female_4	Heart	16w	female
Heart_16w_female_5	Heart	16w	female
