	Tissue	Age	Sex
Muscle_6w_male_1	Muscle	6w	male
Muscle_6w_male_2	Muscle	6w	male
Muscle_6w_male_3	Muscle	6w	male
Muscle_6w_male_4	Muscle	6w	male
Muscle_6w_male_5	Muscle	6w	male
Muscle_6w_female_1	Muscle	6w	female
Muscle_6w_female_2	Muscle	6w	female
Muscle_6w_female_3	Muscle	6w	female
Muscle_6w_female_4	Muscle	6w	female
Muscle_16w_male_1	Muscle	16w	male
Muscle_16w_male_2	Muscle	16w	male
Muscle_16w_male_3	Muscle	16w	male
Muscle_16w_male_4	Muscle	16w	male
Muscle_16w_male_5	Muscle	16w	male
Muscle_16w_female_1	Muscle	16w	female
Muscle_16w_female_2	Muscle	16w	female
Muscle_16w_female_3	Muscle	16w	female
Muscle_16w_female_4	Muscle	16w	female
Muscle_16w_female_5	Muscle	16w	female
