	Tissue	Age	Sex
Spleen_6w_male_1	Spleen	6w	male
Spleen_6w_male_2	Spleen	6w	male
Spleen_6w_male_3	Spleen	6w	male
Spleen_6w_male_4	Spleen	6w	male
Spleen_6w_male_5	Spleen	6w	male
Spleen_6w_female_1	Spleen	6w	female
Spleen_6w_female_2	Spleen	6w	female
Spleen_6w_female_3	Spleen	6w	female
Spleen_6w_female_4	Spleen	6w	female
Spleen_16w_male_1	Spleen	16w	male
Spleen_16w_male_2	Spleen	16w	male
Spleen_16w_male_3	Spleen	16w	male
Spleen_16w_male_4	Spleen	16w	male
Spleen_16w_male_5	Spleen	16w	male
Spleen_16w_female_1	Spleen	16w	female
Spleen_16w_female_2	Spleen	16w	female
Spleen_16w_female_3	Spleen	16w	female
Spleen_16w_female_4	Spleen	16w	female
Spleen_16w_female_5	Spleen	16w	female
