Sample_ID	Tissue	Age	Sex
SRR24062662	Brain	6w	female
SRR24062663	Brain	6w	female
SRR24062664	Spleen	16w	female
SRR24062665	Spleen	16w	female
SRR24062666	Spleen	16w	female
SRR24062667	Spleen	16w	female
SRR24062668	Spleen	16w	female
SRR24062669	Spleen	16w	male
SRR24062670	Spleen	16w	male
SRR24062671	Spleen	16w	male
SRR24062672	Brain	6w	female
SRR24062673	Spleen	16w	male
SRR24062674	Spleen	16w	male
SRR24062675	Spleen	6w	female
SRR24062676	Spleen	6w	female
SRR24062677	Spleen	6w	female
SRR24062678	Spleen	6w	female
SRR24062679	Spleen	6w	male
SRR24062680	Spleen	6w	male
SRR24062681	Spleen	6w	male
SRR24062682	Spleen	6w	male
SRR24062683	Brain	6w	female
SRR24062684	Spleen	6w	male
SRR24062685	Muscle	16w	female
SRR24062686	Muscle	16w	female
SRR24062687	Muscle	16w	female
SRR24062688	Muscle	16w	female
SRR24062689	Muscle	16w	female
SRR24062690	Muscle	16w	male
SRR24062691	Muscle	16w	male
SRR24062692	Muscle	16w	male
SRR24062693	Muscle	16w	male
SRR24062694	Brain	6w	female
SRR24062695	Muscle	16w	male
SRR24062696	Muscle	6w	female
SRR24062697	Muscle	6w	female
SRR24062698	Muscle	6w	female
SRR24062699	Muscle	6w	female
SRR24062700	Muscle	6w	male
SRR24062701	Muscle	6w	male
SRR24062702	Muscle	6w	male
SRR24062703	Muscle	6w	male
SRR24062704	Muscle	6w	male
SRR24062705	Brain	6w	male
SRR24062706	Heart	16w	female
SRR24062707	Heart	16w	female
SRR24062708	Heart	16w	female
SRR24062709	Heart	16w	female
SRR24062710	Heart	16w	female
SRR24062711	Heart	16w	male
SRR24062712	Heart	16w	male
SRR24062713	Heart	16w	male
SRR24062714	Heart	16w	male
SRR24062715	Heart	16w	male
SRR24062716	Brain	6w	male
SRR24062717	Heart	6w	female
SRR24062718	Heart	6w	female
SRR24062719	Heart	6w	female
SRR24062720	Heart	6w	female
SRR24062721	Heart	6w	female
SRR24062722	Heart	6w	male
SRR24062723	Heart	6w	male
SRR24062724	Heart	6w	male
SRR24062725	Heart	6w	male
SRR24062726	Heart	6w	male
SRR24062727	Brain	6w	male
SRR24062728	Brain	16w	female
SRR24062729	Brain	16w	female
SRR24062730	Brain	16w	female
SRR24062731	Brain	16w	female
SRR24062732	Brain	16w	female
SRR24062733	Brain	16w	male
SRR24062734	Brain	16w	male
SRR24062735	Brain	16w	male
SRR24062736	Brain	16w	male
SRR24062737	Brain	16w	male
SRR24062738	Brain	6w	male
SRR24062739	Brain	6w	male
